조사년도,해역,연안명칭,수온표층,염분표층,수소이온농도(ph) 표층,용존산소량(표층),화학적산소요구량 표층,암모니아질소 표층,아질산성 질소 표층,질산성질소 표층,용존무기질소 표층,총질소 표층,용존무기인 표층,총인 표층,규산규소 표층,부유물질 표층,클로로필 표층,투명도 표층,지역
2018,동해,거진항,13.22,32.82,8.14,10.41,1.6,23.29,2.47,43.49,69.24,201.06,10.91,26.33,128.32,6.72,6.99,2.45,강원
2018,동해,속초항,14.94,32.78,8.05,8.17,1.57,74.49,4.51,80.74,159.75,277.48,14.98,27.9,338.97,9.54,1.85,4.62,강원
2018,동해,주문진항,14.1,32.31,8.0,8.17,1.51,85.7,6.1,93.63,185.42,255.79,26.47,46.24,388.67,3.55,1.0,4.0,강원
2018,동해,묵호항,15.13,33.22,8.03,9.1,1.62,16.24,3.71,64.1,84.05,186.22,10.17,21.13,177.81,3.3,3.17,6.2,강원
2018,동해,삼척항,14.85,33.54,8.15,8.91,1.13,13.17,2.81,69.32,85.31,169.54,10.73,20.04,225.94,15.6,1.57,4.42,강원
2018,동해,죽변항,18.46,33.24,8.14,8.96,1.57,12.61,2.03,42.74,57.39,164.37,9.93,24.96,174.23,6.02,2.47,5.1,경북
2018,동해,후포항,19.17,33.17,8.09,8.37,1.32,11.35,2.47,43.31,57.14,176.94,10.09,17.02,194.04,4.28,1.02,5.65,경북
2018,동해,축산항,19.21,33.34,8.03,8.13,1.18,3.41,2.31,45.64,51.35,150.54,9.99,14.76,217.42,3.7,0.51,6.15,경북
2018,동해,강구항,17.97,32.97,8.04,8.36,1.27,7.99,2.41,51.86,62.27,184.27,10.04,17.89,239.83,3.4,5.63,3.55,경북
2018,동해,포항 구항,15.74,33.36,8.19,8.13,1.34,34.36,7.55,59.69,101.6,214.18,19.02,34.46,349.09,6.62,6.96,3.52,경북
2018,동해,구룡포항,19.3,33.36,8.1,9.16,1.67,10.59,2.02,32.02,44.63,159.7,8.71,20.07,156.61,4.45,1.13,5.25,경북
2018,동해,감포항,19.46,33.28,8.08,8.53,1.35,14.31,2.32,37.56,54.19,149.57,11.26,22.83,183.97,5.78,1.4,4.45,경북
2018,남해,울산항,18.66,32.14,8.05,7.86,2.22,103.86,12.9,131.27,248.02,395.12,32.02,52.99,341.35,8.25,1.58,2.1,울산
2018,남해,대변항,18.64,33.36,8.22,8.1,1.12,29.74,3.51,51.41,84.65,201.36,14.0,26.85,281.9,5.68,1.54,3.0,부산
2018,남해,부산항,18.71,33.31,8.25,7.67,1.48,24.38,3.06,53.0,80.44,188.63,11.78,25.73,196.96,7.25,2.29,4.18,부산
2018,남해,신항,16.7,32.61,8.22,7.5,1.97,34.51,4.14,24.47,63.11,179.12,14.72,29.28,226.39,10.45,2.89,1.05,경남
2018,남해,마산항,16.39,31.76,8.2,7.19,2.94,88.49,2.17,74.54,165.2,301.64,24.75,45.76,112.99,3.61,1.8,1.6,경남
2018,남해,옥포항,19.38,33.11,8.26,8.52,2.13,22.51,3.73,31.89,58.12,169.41,10.91,30.12,123.94,5.16,3.22,2.52,경남
2018,남해,삼덕항,17.97,33.52,8.2,8.03,1.52,10.51,2.27,13.38,26.15,96.3,8.65,13.81,151.71,6.88,3.57,2.5,경남
2018,남해,삼천포항,17.59,33.15,8.06,7.1,1.68,20.24,3.48,9.78,33.49,106.79,13.97,32.26,252.8,12.38,2.25,2.2,경남
2018,남해,광 양 만,17.06,32.43,8.12,7.86,2.33,49.07,7.97,80.93,137.97,266.13,61.5,69.33,358.36,8.22,3.72,1.85,충남
2018,남해,여수신항,15.98,32.85,8.22,9.04,2.42,14.31,3.27,38.26,55.84,178.68,13.95,26.91,173.72,9.07,3.76,2.0,전남
2018,남해,제주항,17.63,33.3,8.29,8.12,1.51,13.16,3.15,500.77,517.08,614.27,14.35,32.11,1396.68,7.26,2.8,4.08,제주
2018,남해,성산항,17.7,33.27,8.3,8.51,1.72,15.5,3.1,53.4,72.01,185.12,8.61,24.58,374.89,3.84,1.09,3.75,제주
2018,남해,서귀포항,18.66,32.87,8.3,7.76,1.58,17.23,2.75,201.68,221.66,407.06,10.67,27.06,1576.17,5.19,1.22,3.15,제주
2018,남해,한림항,17.25,33.22,8.22,8.36,1.78,24.65,4.96,199.56,229.17,303.96,11.19,22.32,234.9,5.43,5.79,3.15,전남
2018,남해,완도항,16.43,32.98,8.21,9.17,1.83,26.15,4.94,62.61,93.7,212.78,16.17,24.89,301.85,50.15,20.8,1.55,전남
2018,서해,목포항,16.01,32.03,8.16,9.66,2.05,27.53,10.06,60.73,98.32,246.06,14.05,33.29,231.12,11.68,57.45,1.4,전남
2018,서해,대천항,15.2,31.69,8.15,8.73,2.25,19.66,2.33,104.48,126.47,192.83,24.06,27.07,132.96,20.15,1.99,2.3,충남
2018,서해,평택항,14.06,30.12,8.06,8.46,2.1,112.89,7.98,229.47,350.34,499.52,50.07,58.61,582.69,24.6,9.31,1.55,경기
2018,서해,인천항,14.56,28.89,7.94,8.56,1.93,1423.41,22.7,435.46,1881.58,2237.16,70.64,108.14,572.16,16.6,5.21,1.55,인천
2018,서해,섬진강,16.71,24.78,8.07,9.27,2.49,58.58,12.45,457.63,528.66,643.65,21.78,32.54,1393.8,9.66,4.05,1.78,전북
2018,서해,낙동강하구,18.02,27.58,8.2,8.49,2.95,78.96,21.39,554.33,654.67,876.82,20.53,47.87,955.49,8.53,5.86,2.19,부산
2018,연안,진해만,17.0,32.24,8.21,8.3,1.95,18.39,3.03,26.74,62.5,193.49,8.08,25.06,225.32,4.88,2.56,6.0,경남
2018,특별관리,진해만,16.64,32.72,8.23,7.98,1.93,75.06,6.47,48.66,130.19,301.1,11.32,34.76,269.85,5.56,4.43,3.25,경남
2019,동해,거진연안,15.25,33.61,8.16,8.78,0.98,6.37,1.32,31.42,39.11,144.67,6.03,15.9,184.33,5.76,1.23,8.16,강원
2019,동해,속초연안,15.65,33.64,8.17,8.4,0.96,7.6,2.06,38.47,48.12,167.19,6.98,16.09,192.33,4.22,1.1,9.98,강원
2019,동해,양양연안,16.62,33.66,8.16,8.51,0.96,3.96,1.86,22.56,28.38,141.79,4.89,13.43,152.63,5.37,0.81,11.5,강원
2019,동해,주문진연안,17.01,33.64,8.2,8.55,1.07,5.16,2.02,22.13,29.31,136.3,4.85,13.11,153.06,4.87,0.74,10.42,강원
2019,동해,강릉연안,16.76,33.71,8.22,8.59,0.93,4.46,2.53,29.32,36.31,133.86,5.29,15.17,177.89,5.47,0.72,9.88,강원
2019,동해,동해연안,16.46,33.77,8.2,8.95,1.12,5.85,2.85,26.32,35.02,157.38,5.13,16.03,167.69,4.85,0.78,9.33,강원
2019,동해,삼척연안,16.82,33.49,8.21,8.93,1.35,5.16,2.49,30.68,38.33,152.47,4.57,15.87,159.96,6.46,0.92,9.78,강원
2019,동해,죽변연안,16.93,33.79,8.24,9.48,1.33,3.34,2.16,24.1,29.6,138.41,4.13,16.25,165.15,6.14,1.23,8.47,경북
2019,동해,후포연안,18.52,33.49,8.2,8.41,1.23,1.52,1.36,12.01,14.89,116.86,2.47,12.27,128.23,3.58,1.37,11.56,경북
2019,동해,축산연안,18.63,33.6,8.22,8.37,1.03,1.37,1.13,9.01,11.51,121.01,1.84,13.05,119.45,4.51,3.98,8.48,경북
2019,동해,강구연안,17.36,33.76,8.2,8.26,1.11,3.87,3.04,30.33,37.25,163.61,5.38,16.87,191.91,7.24,1.07,9.54,경북
2019,동해,월포연안,17.17,33.84,8.18,8.43,0.93,1.29,2.94,26.26,30.5,144.23,5.07,16.13,171.99,5.34,1.15,8.32,경북
2019,동해,영일만,16.83,33.6,8.22,8.63,1.16,7.16,3.26,33.64,44.05,173.26,4.95,17.9,143.37,5.79,1.99,6.85,경북
2019,동해,구룡포연안,18.1,33.42,8.18,7.93,1.06,6.62,3.86,26.85,37.33,135.06,5.26,16.77,201.99,4.39,1.07,8.7,경북
2019,동해,감포연안,18.3,33.51,8.18,7.87,1.1,3.22,4.26,30.45,37.93,163.49,6.26,15.4,222.5,4.39,0.99,6.04,경북
2019,남해,울산연안,17.7,32.76,8.13,7.84,1.25,56.51,8.43,73.13,138.07,292.03,15.79,29.71,310.83,6.94,1.81,3.45,울산
2019,남해,온산연안,17.76,32.99,8.16,7.89,1.05,24.36,6.72,75.89,106.97,263.52,12.74,23.88,294.73,6.04,1.28,4.26,울산
2019,남해,기장연안,18.01,33.57,8.3,8.06,0.6,4.72,3.92,31.98,40.62,147.84,8.17,17.77,208.64,5.29,1.73,4.82,부산
2019,남해,부산연안,17.89,33.33,8.28,8.39,1.03,16.36,4.8,26.03,47.18,201.32,9.24,23.35,211.02,6.2,3.07,3.8,부산
2019,남해,낙동강하구,18.64,32.73,8.3,8.12,0.9,8.64,3.49,29.16,41.29,172.65,3.42,16.5,198.85,4.36,2.82,5.62,부산
2019,남해,신항연안,17.24,32.62,8.21,8.08,1.35,41.08,6.33,49.56,96.98,237.69,14.46,28.06,293.26,10.66,2.24,1.45,경남
2019,남해,행암만,18.68,32.17,8.36,9.78,2.46,48.56,4.28,16.52,69.36,280.22,2.71,31.8,214.63,6.19,8.34,2.59,경남
2019,남해,마산만,17.21,31.89,8.29,8.57,2.16,42.98,6.25,21.98,71.2,286.66,11.32,38.92,345.6,7.87,4.61,2.67,경남
2019,남해,진해만,17.51,32.38,8.23,8.42,1.44,20.57,3.12,14.03,37.71,196.19,7.43,24.85,262.55,4.84,2.27,4.79,경남
2019,남해,거제도동안,18.22,33.01,8.24,8.8,1.24,4.11,2.16,19.26,25.52,154.33,4.0,17.21,140.27,3.87,2.16,6.08,경남
2019,남해,거제도남안,17.92,33.35,8.17,8.96,1.24,10.16,3.72,15.46,29.33,180.33,7.63,20.8,217.4,4.38,2.2,6.12,경남
2019,남해,통영연안,17.89,33.09,8.17,8.29,1.16,12.45,3.62,23.89,39.95,169.68,10.63,24.77,215.11,7.42,2.24,4.71,경남
2019,남해,통영외안,17.79,33.25,8.22,9.13,1.22,4.04,2.51,15.67,22.22,138.48,5.18,18.25,146.78,5.86,1.58,5.83,경남
2019,남해,고성자란만,18.18,33.02,8.16,7.98,1.29,7.12,2.24,11.07,20.43,183.03,7.68,21.68,221.47,5.71,1.62,5.42,경남
2019,남해,사천연안,17.18,32.95,8.19,8.58,1.17,14.64,3.59,15.09,33.32,174.58,10.06,23.15,196.65,6.35,1.97,4.15,경남
2019,남해,진주만,17.35,32.4,8.24,8.93,1.95,14.94,2.84,11.78,29.56,164.46,11.96,29.49,213.19,11.75,1.68,2.68,경남
2019,남해,남해도남안,17.87,33.02,8.25,8.65,1.33,4.25,2.46,8.74,15.45,127.01,3.45,16.13,117.1,6.53,1.58,6.56,경남
2019,남해,광양만,17.54,31.77,8.23,8.72,1.79,29.13,7.23,27.81,64.17,215.91,11.81,29.65,203.11,8.99,3.15,2.78,전남
2019,남해,여수연안,17.4,32.4,8.26,8.89,1.49,14.25,3.37,10.56,28.18,168.85,5.4,22.18,119.97,6.81,1.9,4.5,전남
2019,남해,가막만,16.88,32.49,8.21,8.74,1.31,12.93,2.54,12.71,28.18,172.39,5.84,21.7,113.94,7.77,2.0,3.9,전남
2019,남해,여자만,17.29,31.3,8.15,8.32,1.85,40.23,12.4,24.02,76.65,208.11,9.76,33.37,418.67,19.65,3.34,1.63,전남
2019,남해,고흥연안,16.64,32.64,8.2,8.44,1.09,7.3,5.39,26.56,39.26,149.42,7.47,19.87,221.49,12.56,1.97,2.17,전남
2019,남해,득량만,16.56,32.11,8.16,8.44,1.54,20.16,4.81,27.19,52.16,207.46,11.78,27.53,335.3,11.62,2.11,1.89,전남
2019,제주,제주연안,19.93,33.04,8.18,9.24,1.07,6.53,1.98,33.11,41.62,144.15,8.02,15.87,353.71,11.42,0.68,10.04,제주
2019,제주,조천연안,19.9,33.3,8.2,8.94,1.14,5.62,2.2,26.24,34.07,159.08,5.6,13.44,196.58,6.07,0.53,11.06,제주
2019,제주,성산연안,20.31,33.36,8.2,8.76,1.72,9.11,2.36,26.65,38.13,128.18,5.3,12.73,186.67,5.28,0.48,10.29,제주
2019,제주,표선연안,20.79,33.41,8.21,8.88,1.2,3.05,1.67,26.68,31.4,131.4,4.71,12.03,210.78,4.16,0.28,11.46,제주
2019,제주,서귀포연안,20.68,33.44,8.19,8.86,1.03,7.53,1.67,33.89,43.08,160.09,5.38,14.86,243.93,11.51,0.46,11.05,제주
2019,제주,대정연안,20.07,33.55,8.18,8.89,1.22,5.56,1.96,27.81,35.33,122.13,6.03,12.97,190.44,6.51,0.3,11.15,제주
2019,제주,한림연안,19.87,33.32,8.17,8.83,1.06,5.24,2.24,33.58,41.07,145.02,6.3,14.28,199.27,8.78,0.52,10.79,전남
2019,남해,완도연안,16.65,32.96,8.1,8.4,1.1,9.85,6.36,52.46,68.67,185.57,12.56,22.62,285.41,5.74,1.43,2.69,전남
2019,남해,도암만,17.77,31.32,8.06,8.37,1.59,29.26,5.38,48.4,83.04,265.61,16.66,36.7,685.81,11.13,5.63,1.48,전남
2019,남해,진도연안,15.94,32.69,8.13,9.08,1.18,6.72,3.44,59.98,70.14,202.94,12.54,24.63,267.81,20.28,1.04,1.15,전남
2019,서해,해남만,16.58,30.89,8.28,10.24,2.2,7.74,3.52,22.61,33.87,214.11,1.64,13.82,54.96,7.3,4.2,2.35,전남
2019,서해,목포연안,16.32,30.64,8.22,9.88,1.92,16.75,12.64,133.36,162.75,348.83,9.63,26.81,255.69,9.28,4.34,1.62,전남
2019,서해,신안연안,16.14,31.88,8.1,8.63,1.23,6.71,7.4,106.11,120.22,273.95,15.68,27.26,330.0,14.4,1.02,1.27,전남
2019,서해,무안연안,17.01,31.27,8.08,8.45,1.5,18.07,10.76,103.83,132.66,289.96,16.06,28.11,378.94,20.87,1.41,1.13,전남
2019,서해,함평연안,16.77,31.51,8.02,8.72,1.56,8.67,6.14,100.14,114.94,286.91,18.53,32.83,334.16,23.98,2.1,1.54,전남
2019,서해,고창연안,15.48,31.39,8.1,8.36,2.28,21.29,2.56,48.49,72.35,272.22,17.31,52.59,321.02,62.4,6.27,0.65,전북
2019,서해,전주포연안,15.04,31.09,8.14,9.0,1.91,21.98,3.18,39.85,65.01,268.29,12.5,37.79,288.25,15.08,4.65,1.48,전북
2019,서해,군산연안,15.32,29.8,8.07,8.4,2.21,78.57,8.7,136.07,223.33,445.65,22.42,47.73,407.15,23.28,3.28,1.27,전북
2019,서해,보령연안,15.06,31.78,8.08,8.76,1.34,13.13,2.82,41.75,57.7,202.59,14.91,31.97,248.21,14.74,2.14,1.76,충남
2019,서해,천수만,15.53,31.76,8.11,9.02,1.71,45.35,2.41,29.7,77.45,228.19,16.43,34.75,237.56,11.24,3.1,2.12,충남
2019,서해,태안연안,13.95,31.81,8.08,9.25,1.57,2.74,2.42,65.92,71.08,236.28,14.77,31.6,234.01,15.79,3.09,2.19,충남
2019,서해,가로림연안,13.58,31.7,8.04,9.0,1.54,7.55,3.88,99.48,110.91,239.48,17.24,30.86,243.02,18.01,2.14,2.0,충남
2019,서해,대산연안,13.76,31.4,8.03,8.95,1.53,10.68,7.07,110.01,127.77,295.12,19.25,34.02,261.75,12.35,1.82,2.62,충남
2019,서해,아산연안,14.34,30.81,8.03,8.87,1.98,35.2,10.49,139.01,184.7,388.66,21.31,38.68,341.79,12.54,3.29,2.76,충남
2019,서해,인천연안,14.59,30.46,8.06,8.91,1.92,85.25,13.92,193.94,293.11,483.61,28.55,48.51,362.86,21.47,2.91,1.98,인천
2019,서해,시화호,15.81,30.05,8.08,6.91,3.04,49.22,11.08,94.56,154.86,428.34,25.27,59.54,561.23,10.5,10.82,1.51,인천
2019,동해,거진항,15.17,32.94,8.18,8.88,1.25,24.84,2.2,69.23,96.26,213.32,12.34,28.4,289.35,5.1,2.2,3.1,강원
2019,동해,속초항,16.27,32.35,8.18,8.87,1.29,25.32,3.35,81.04,109.71,220.85,9.37,25.95,285.67,6.24,4.35,4.38,강원
2019,동해,주문진항,17.27,33.11,8.14,7.47,1.35,74.79,4.76,79.3,158.84,300.57,24.37,44.08,343.11,6.48,1.64,4.15,강원
2019,동해,묵호항,16.86,33.4,8.23,9.11,1.46,39.99,3.44,46.99,90.43,194.16,7.4,23.95,150.89,6.52,4.5,4.88,강원
2019,동해,삼척항,17.05,32.96,8.2,8.47,1.24,13.88,2.67,124.95,141.5,258.58,10.07,23.13,282.13,7.22,2.03,4.78,강원
2019,동해,죽변항,17.42,33.99,8.24,9.54,1.33,2.63,1.2,23.65,27.48,140.99,5.91,18.88,136.12,6.35,1.54,4.15,경북
2019,동해,후포항,19.27,33.3,8.2,8.15,1.05,4.23,1.59,20.09,25.91,110.14,4.59,15.04,137.8,3.6,1.54,6.75,경북
2019,동해,축산항,19.92,33.36,8.23,8.07,0.95,0.3,1.34,15.52,17.16,97.84,3.44,11.95,123.82,5.1,1.9,9.0,경북
2019,동해,강구항,18.07,32.97,8.16,8.41,1.31,26.66,3.28,102.53,132.46,227.72,7.77,19.38,303.24,15.45,1.19,2.9,경북
2019,동해,포항 구항,17.24,32.67,8.28,8.76,1.65,25.55,5.25,78.75,109.56,283.11,9.25,27.89,220.23,6.65,2.28,3.38,경북
2019,동해,구룡포항,18.67,32.96,8.19,7.77,1.09,9.4,3.32,51.11,63.83,193.33,9.35,23.47,263.84,3.88,2.02,5.95,경북
2019,동해,감포항,18.57,33.06,8.18,7.51,1.31,25.12,3.74,57.89,86.76,216.59,12.17,22.86,252.55,8.05,1.38,4.25,경북
2019,남해,울산항,17.02,29.91,8.08,6.95,1.44,146.26,16.7,180.16,343.11,478.33,42.41,60.98,590.37,6.75,2.86,1.85,울산
2019,남해,대변항,19.83,33.36,8.3,8.44,1.12,23.0,1.95,15.88,40.82,197.42,9.42,24.3,131.1,7.48,3.23,3.75,부산
2019,남해,부산항,20.26,33.15,8.27,8.9,1.07,22.19,2.24,15.85,40.28,188.41,8.05,25.49,128.79,7.12,4.96,3.84,부산
2019,남해,신항,17.91,32.29,8.29,9.86,1.68,27.59,4.77,56.71,89.08,236.26,10.38,27.14,201.32,11.8,3.47,0.95,경남
2019,남해,마산항,17.15,31.87,8.34,8.8,2.21,56.9,2.11,16.28,75.29,305.59,11.97,43.17,88.8,11.92,5.56,1.6,경남
2019,남해,옥포항,18.7,32.87,8.26,9.42,1.42,14.02,3.34,24.34,41.71,182.99,7.84,23.92,122.04,6.0,1.29,3.88,경남
2019,남해,삼덕항,18.64,33.28,8.2,8.22,1.61,48.14,3.18,26.56,77.87,276.39,16.54,43.5,183.01,8.61,5.77,3.32,경남
2019,남해,삼천포항,17.76,32.93,8.2,8.39,1.27,9.49,2.06,8.83,20.38,130.42,10.96,24.66,180.05,8.5,1.38,3.0,경남
2019,남해,광 양 만,19.43,31.39,8.27,8.98,1.9,77.93,2.62,17.82,98.38,220.6,19.59,36.75,138.31,10.35,4.19,2.1,충남
2019,남해,여수신항,17.95,32.19,8.29,8.6,1.56,40.89,0.64,2.17,43.7,165.82,3.72,22.56,44.87,5.71,1.5,3.65,전남
2019,남해,제주항,20.92,32.29,8.18,8.3,1.58,14.85,2.33,195.59,212.76,367.95,12.64,24.76,1144.07,6.88,6.23,6.76,제주
2019,남해,성산항,19.9,32.26,8.19,8.85,1.92,27.27,6.22,62.55,96.04,286.1,12.74,23.31,810.33,5.88,13.21,2.28,제주
2019,남해,서귀포항,21.15,30.37,8.14,8.17,1.35,25.97,5.33,143.06,174.37,644.89,21.07,28.63,1088.73,3.62,2.39,3.48,제주
2019,남해,한림항,20.1,32.37,8.15,8.26,1.3,26.65,4.12,140.89,171.65,361.11,14.35,24.28,470.25,10.68,0.42,2.02,전남
2019,남해,완도항,15.84,32.9,8.13,8.39,1.22,3.86,3.31,42.01,49.18,201.47,12.28,26.29,343.91,9.45,0.19,1.9,전남
2019,서해,목포항,15.5,30.19,8.23,10.57,3.0,11.99,15.72,120.76,148.47,432.66,3.53,29.54,111.65,8.05,2.35,1.7,전남
2019,서해,대천항,14.93,31.72,8.0,8.69,1.86,17.28,2.02,69.62,88.92,265.9,19.86,32.92,335.41,11.58,2.93,1.9,충남
2019,서해,평택항,15.8,30.39,7.94,9.14,3.7,104.08,17.52,404.02,525.62,843.37,31.62,60.05,688.07,8.3,6.5,1.3,경기
2019,서해,인천항,14.56,27.24,7.9,8.08,1.55,409.84,35.08,445.13,890.04,1141.64,60.76,77.19,801.15,11.82,2.33,1.6,인천
2019,서해,섬진강,16.93,23.54,8.14,8.85,2.09,42.41,6.72,398.6,447.73,611.25,15.71,31.53,1053.2,5.17,2.19,2.02,전북
2019,서해,낙동강하구,17.74,22.66,8.07,8.68,2.56,67.09,21.74,677.99,766.81,995.45,14.1,40.66,758.24,7.08,5.08,2.15,부산
2019,연안,진해만,17.62,32.38,8.23,8.77,1.46,13.31,2.08,9.24,24.63,180.22,5.71,23.5,218.77,4.47,2.08,5.54,경남
2019,특별관리,진해만,17.07,32.6,8.27,8.18,1.35,40.52,5.45,23.52,69.5,223.52,8.75,25.77,230.0,5.37,2.55,3.81,경남
2020,동해,거진연안,16.06,32.99,8.18,9.39,1.6,10.41,1.96,41.76,54.13,163.54,7.29,21.76,212.61,5.07,2.09,6.06,강원
2020,동해,속초연안,15.78,33.49,8.19,9.06,1.29,9.54,1.85,32.07,43.46,123.05,5.56,16.23,182.56,4.6,2.28,9.18,강원
2020,동해,양양연안,15.75,33.55,8.19,9.18,1.34,7.42,1.93,32.54,41.89,122.01,5.21,16.03,168.11,6.08,1.99,8.82,강원
2020,동해,주문진연안,15.84,33.4,8.22,9.42,1.59,7.94,1.11,23.88,32.92,129.42,3.82,15.81,135.45,7.55,2.98,8.0,강원
2020,동해,강릉연안,16.17,33.11,8.22,9.29,1.34,6.4,1.68,28.25,36.33,131.49,5.03,16.11,148.14,8.44,2.85,8.18,강원
2020,동해,동해연안,16.2,32.99,8.19,9.1,1.38,3.46,2.41,30.71,36.59,137.77,5.43,17.26,157.48,7.79,2.3,9.03,강원
2020,동해,삼척연안,16.83,33.1,8.23,9.19,1.38,4.17,2.53,36.98,43.67,139.48,5.73,16.18,176.48,6.79,1.45,9.31,강원
2020,동해,죽변연안,16.29,33.19,8.16,9.02,1.32,9.05,2.0,36.84,47.89,163.98,6.73,21.53,184.02,6.28,2.39,8.97,경북
2020,동해,후포연안,16.98,33.58,8.23,9.12,1.14,3.96,1.83,34.32,40.11,131.26,5.18,15.41,156.32,8.71,1.21,9.91,경북
2020,동해,축산연안,17.16,33.85,8.27,9.22,1.4,4.1,1.81,33.29,39.21,134.07,5.34,16.72,164.77,6.14,1.54,10.31,경북
2020,동해,강구연안,17.32,33.7,8.25,9.64,1.51,3.26,1.51,30.05,34.82,124.77,4.83,14.5,164.1,4.98,1.32,7.85,경북
2020,동해,월포연안,17.39,33.31,8.12,8.84,1.43,6.82,1.19,17.67,25.69,119.69,3.06,14.12,106.6,6.99,0.98,8.39,경북
2020,동해,영일만,16.72,32.92,8.17,9.38,1.32,13.91,2.71,46.45,63.07,184.47,6.26,20.37,212.53,9.64,1.78,4.97,경북
2020,동해,구룡포연안,16.2,33.63,8.2,9.25,1.61,4.99,2.28,38.89,46.16,155.75,6.34,21.39,216.19,7.75,2.52,6.63,경북
2020,동해,감포연안,16.71,33.68,8.2,9.11,1.44,3.79,2.55,38.63,44.97,146.16,6.64,20.66,263.52,8.18,2.53,5.99,경북
2020,남해,울산연안,15.65,32.69,8.1,8.32,1.62,49.47,8.46,142.69,200.62,325.98,19.98,38.73,470.53,9.15,3.82,3.4,울산
2020,남해,온산연안,15.42,33.41,8.12,8.45,1.26,23.53,6.99,126.34,156.87,260.91,16.84,32.08,379.94,8.16,3.88,3.83,울산
2020,남해,기장연안,18.21,33.34,8.23,8.77,1.42,4.69,3.6,42.63,50.92,157.44,7.04,19.42,240.65,7.45,2.77,4.33,부산
2020,남해,부산연안,17.57,33.04,8.19,8.72,1.51,19.98,5.47,64.84,90.29,217.69,9.58,25.06,255.63,7.05,3.17,4.16,부산
2020,남해,낙동강하구,17.57,30.93,8.2,8.71,2.2,13.86,5.74,114.02,133.63,272.9,6.16,27.79,374.62,10.28,6.6,4.26,부산
2020,남해,신항연안,16.61,32.09,8.08,8.93,1.64,26.89,12.13,92.42,131.44,261.62,14.79,36.17,399.25,16.39,3.91,1.3,경남
2020,남해,행암만,17.71,30.11,8.26,9.64,3.33,52.53,11.54,70.62,134.68,403.06,7.07,46.08,448.08,11.78,13.44,2.62,경남
2020,남해,마산만,17.61,28.88,8.23,8.68,2.93,63.17,14.63,63.39,141.19,392.55,11.7,46.56,691.67,11.78,8.16,2.42,경남
2020,남해,진해만,17.3,31.14,8.04,8.87,2.18,28.17,4.31,22.04,54.53,223.8,8.68,28.52,349.41,7.1,4.18,4.27,경남
2020,남해,거제도동안,17.15,32.69,8.17,8.55,1.78,3.26,3.07,41.65,47.98,170.65,6.29,21.73,240.92,6.75,3.25,4.66,경남
2020,남해,거제도남안,16.62,32.96,8.15,8.59,1.51,11.98,3.62,37.02,52.62,169.07,9.7,25.74,315.86,7.28,3.37,4.48,경남
2020,남해,통영연안,16.88,32.35,8.05,8.99,1.53,23.34,4.89,37.67,65.9,197.83,13.15,30.9,332.28,8.92,3.1,3.58,경남
2020,남해,통영외안,17.38,32.71,8.12,8.54,1.57,7.99,4.71,39.55,52.25,172.43,8.66,23.11,287.76,7.71,2.33,3.84,경남
2020,남해,고성자란만,17.2,32.07,8.04,8.75,1.56,18.08,3.9,17.86,39.83,173.56,9.88,25.11,422.02,9.25,1.86,4.02,경남
2020,남해,사천연안,16.76,30.8,8.08,8.48,1.56,20.56,6.53,68.96,96.05,217.0,15.05,31.09,517.22,11.74,2.24,3.02,경남
2020,남해,진주만,16.61,30.29,8.14,9.67,2.24,17.04,4.88,35.24,57.17,241.0,10.63,39.34,454.21,17.25,6.93,2.05,경남
